Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_421,POINT (6862 11773),6862,11773,22.44978924789348,69.66834338993287,60.0,100.0,Passenger_ship,206
target_422,POINT (6868 11839),6868,11839,22.44397183960864,69.66658368020141,90.0,130.0,Passenger_ship,207
target_423,POINT (6816 11869),6816,11869,22.440339120625506,69.67097057909612,10.0,40.0,Tugs_ship,208
target_425,POINT (7199 11787),7199,11787,22.45426864984416,69.63597781924162,190.0,110.0,Passenger_ship,209
target_426,POINT (10420 11597),10420,11597,22.52564041023015,69.332012359108,150.0,150.0,Passenger_ship,210
target_428,POINT (10300 11565),10300,11565,22.52652966289936,69.34402409864542,200.0,170.0,Passenger_ship,211
target_429,POINT (10310 11578),10310,11578,22.52552451143164,69.34282677242877,80.0,50.0,Tugs_ship,212
target_430,POINT (10419 11597),10419,11597,22.52562369807212,69.33210788776333,130.0,150.0,Passenger_ship,213
target_432,POINT (9721 11444),9721,11444,22.527674393368677,69.40161713599933,30.0,60.0,Passenger_ship,214
target_433,POINT (6773 11896),6773,11896,22.43718307542652,69.67451679721357,60.0,120.0,Passenger_ship,215
target_434,POINT (6864 11927),6864,11927,22.435971705396614,69.66525859522233,40.0,50.0,Tugs_ship,216
target_435,POINT (6847 11977),6847,11977,22.43111840022536,69.66597627024673,50.0,60.0,Passenger_ship,217
target_436,POINT (6800 12032),6800,12032,22.425413069291807,69.66938532981699,60.0,70.0,Passenger_ship,218
target_438,POINT (5451 12056),5451,12056,22.40028784189421,69.79760563381664,40.0,60.0,Passenger_ship,219
target_440,POINT (7515 12187),7515,12187,22.423525730414266,69.59829838959118,50.0,30.0,Tugs_ship,220
target_441,POINT (7334 12238),7334,12238,22.415822029733718,69.61454889732326,60.0,40.0,Tugs_ship,221
target_443,POINT (7157 12290),7157,12290,22.408169029634948,69.63051204069582,150.0,90.0,Passenger_ship,222
target_444,POINT (10480 12197),10480,12197,22.472469759954553,69.31509770636309,210.0,80.0,Passenger_ship,223
target_445,POINT (10635 12219),10635,12219,22.473129520710557,69.29984849403003,60.0,50.0,Tugs_ship,224
target_448,POINT (14319 12199),14319,12199,22.536149120175338,68.94834114817114,50.0,60.0,Passenger_ship,225
target_450,POINT (7389 12486),7389,12486,22.394375333032457,69.60463476477554,80.0,60.0,Passenger_ship,226
target_451,POINT (7373 12493),7373,12493,22.393472718922204,69.60602913274839,140.0,140.0,Passenger_ship,227
target_452,POINT (7294 12511),7294,12511,22.39054720629736,69.61328251827473,130.0,110.0,Passenger_ship,228
target_453,POINT (7276 12528),7276,12528,22.388716833456613,69.61463162117587,80.0,110.0,Passenger_ship,229
target_454,POINT (7333 12661),7333,12661,22.37767252605073,69.60673920535504,70.0,70.0,Passenger_ship,230
target_467,POINT (8312 12557),8312,12557,22.403595806001558,69.51530106294014,90.0,190.0,Passenger_ship,231
target_468,POINT (8632 12711),8632,12711,22.39510608766776,69.48183485433799,20.0,30.0,Tugs_ship,232
target_469,POINT (8640 12758),8640,12758,22.39100039894112,69.48019084577837,20.0,30.0,Tugs_ship,233
target_470,POINT (12260 12472),12260,12472,22.47737842676889,69.13996336617093,260.0,60.0,Passenger_ship,234
target_474,POINT (12206 12681),12206,12681,22.457664107271352,69.14130815150398,30.0,30.0,Tugs_ship,235
target_475,POINT (12209 12687),12209,12687,22.45713605444662,69.14085359502296,60.0,80.0,Passenger_ship,236
target_478,POINT (12908 12576),12908,12576,22.478773726115094,69.07620315286631,50.0,20.0,Fishing_Ship,237
target_479,POINT (12958 12597),12958,12597,22.477708298451468,69.07103917064717,30.0,40.0,Tugs_ship,238
target_480,POINT (12842 12480),12842,12480,22.48638088114749,69.08428913660542,30.0,50.0,Tugs_ship,239
target_481,POINT (12847 12489),12847,12489,22.485607227139486,69.08363614003203,30.0,40.0,Tugs_ship,240
target_482,POINT (12433 12548),12433,12548,22.473447822736684,69.12204446282041,40.0,30.0,Tugs_ship,241
target_483,POINT (12401 12605),12401,12605,22.46772029817661,69.12408437151453,30.0,20.0,Fishing_Ship,242
target_485,POINT (12699 12734),12699,12734,22.461045085425358,69.09324267566451,30.0,60.0,Passenger_ship,243
