Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_337,POINT (5078 8305),5078,8305,49.020159302323435,-123.17198498259285,25.0,37.5,Tugs_ship,115
target_338,POINT (5214 8411),5214,8411,49.01301941251132,-123.16208899900109,12.5,31.25,Tugs_ship,116
target_339,POINT (5209 8423),5209,8423,49.01240738405919,-123.16272901475857,56.25,106.25,Passenger_ship,117
target_340,POINT (5137 8455),5137,8455,49.011322392871364,-123.16926252789206,31.25,31.25,Tugs_ship,118
target_341,POINT (5134 8464),5134,8464,49.01085263658568,-123.1696477443822,56.25,68.75,Passenger_ship,119
target_343,POINT (5371 8328),5371,8328,49.01608439815104,-123.1476555671526,50.0,50.0,Tugs_ship,121
target_344,POINT (5547 8459),5547,8459,49.00717404464105,-123.13481173294399,43.75,68.75,Passenger_ship,122
target_345,POINT (5557 8465),5557,8465,49.006745846256855,-123.1340588078196,43.75,68.75,Passenger_ship,123
target_346,POINT (5425 8466),5425,8466,49.007929232399704,-123.14519015816332,31.25,62.5,Passenger_ship,124
target_347,POINT (5567 8470),5567,8470,49.00636822658157,-123.13324903276111,62.5,31.25,Tugs_ship,125
target_348,POINT (5547 8478),5547,8478,49.00611710599469,-123.13505047615492,37.5,31.25,Tugs_ship,126
target_349,POINT (3503 8842),3503,8842,49.00540535765344,-123.31250404600937,31.25,37.5,Tugs_ship,127
target_350,POINT (5146 8800),5146,8800,48.99209937989973,-123.17355534677044,112.5,87.5,Passenger_ship,128
target_351,POINT (225 8977),225,8977,49.02862298612572,-123.5905518037368,37.5,31.25,Tugs_ship,129
target_353,POINT (23 9229),23,9229,49.01654528250707,-123.61120570230636,31.25,31.25,Tugs_ship,130
target_354,POINT (123 9264),123,9264,49.013652342554366,-123.60328571329175,106.25,100.0,Passenger_ship,131
target_355,POINT (136 9271),136,9271,49.01313954884943,-123.60224801266176,50.0,37.5,Tugs_ship,132
target_356,POINT (315 9320),315,9320,49.0087942342781,-123.58785852678288,50.0,68.75,Passenger_ship,133
target_357,POINT (4754 9426),4754,9426,48.96117288448023,-123.21574214755763,112.5,150.0,Passenger_ship,134
target_359,POINT (6461 8907),6461,8907,48.973547502802326,-123.06452079012205,37.5,12.5,Fishing_Ship,136
